# source, target
0,1
1,2
1,3
1,4
1,6
1,5
1,7
1,8
1,9
1,10
1,11
4,5
5,7
5,9
6,9
7,10
8,9
9,12
9,13
10,14
11,15
11,13
11,24
11,32
11,33
11,34
11,26
11,27
11,28
11,35
11,37
11,29
11,30
11,31
11,38
11,39
11,40
11,41
11,42
11,43
11,44
12,16
12,17
12,15
12,13
13,24
14,15
15,17
15,22
15,23
15,24
16,17
16,18
17,19
17,20
17,21
17,18
17,22
18,22
22,23
24,25
24,26
24,27
24,28
24,29
24,30
24,31
25,26
26,29
26,31
27,29
27,31
28,29
28,30
28,31
29,37
29,30
29,31
30,31
30,41
30,42
30,47
30,43
31,34
31,35
31,37
31,38
31,36
31,39
31,40
31,41
31,48
31,47
31,43
34,35
34,36
35,38
35,36
35,45
35,39
35,40
36,38
36,39
36,40
37,46
38,39
38,40
39,40
39,49
39,50
40,51
40,47
40,43
41,43
41,52
42,48
42,53
43,51
43,47
43,57
43,52
43,58
43,55
43,56
43,44
44,48
44,47
44,55
44,56
44,59
44,60
44,61
44,54
44,53
45,48
47,51
47,55
47,56
48,51
48,54
48,53
49,50
49,53
50,51
50,53
52,57
52,58
53,54
55,56
56,59
56,60
59,60
