,network,random,BC,greedy
0,bn_macaque_rhesus_brain_2,2.6404199600219727,1.6947662830352783,2.4676270484924316
1,word_adjacencies,1.6334149837493896,1.4070196151733398,1.2275395393371582
2,circuits_s208,0.4352114200592041,0.3766148090362549,0.44798707962036133
3,bn_cat_mixed_species_brain_1,10.03031039237976,7.9221484661102295,6.270283222198486
4,facebook_414,22.51830554008484,7.545600652694702,12.52479887008667
5,facebook_686,25.308232307434082,17.24954915046692,17.98616051673889
6,polbooks,3.5146987438201904,1.6969645023345947,2.0966408252716064
7,jazz,73.86935639381409,50.53634786605835,46.407501220703125
8,facebook_348,103.6171064376831,62.06015133857727,69.84088349342346
9,circuits_s420,4.027464151382446,2.544785261154175,3.721499443054199
10,corruption,181.77596592903137,32.38655710220337,108.43679571151733
11,facebook_0,111.80139946937561,46.628376483917236,80.57550644874573
12,circuits_s838,33.45793652534485,18.457303762435913,33.000505208969116
13,crime_net,247.70254254341125,76.8149938583374,120.3459746837616
