network,BC,CC,DC,NBC,PLCi,percolation,proximity,MEB,MEC,MED,DWT,random,greedy
arenas_email,47.920795917510986,89.91453623771667,73.89426279067993,57.10518932342529,102.20345997810364,86.09658932685852,102.0508325099945,74.25131893157959,48.000553607940674,65.18254399299622,145.04305768013,96.92365980148315,65.73107361793518
bn_cat_mixed_species_brain_1,0.769972562789917,0.6991279125213623,0.776921272277832,0.6472940444946289,0.7629592418670654,0.5824410915374756,0.8257913589477539,0.7350325584411621,0.6113636493682861,0.7061100006103516,0.9215586185455322,0.7639539241790771,0.8078396320343018
bn_macaque_rhesus_brain_2,0.09072184562683105,0.09771394729614258,0.1406269073486328,0.07881498336791992,0.2653203010559082,0.08679366111755371,0.11870837211608887,0.12366986274719238,0.06881546974182129,0.09871029853820801,0.2951853275299072,0.2832169532775879,0.12663531303405762
circuits_s208,0.20644927024841309,0.25335097312927246,0.21043729782104492,0.2074136734008789,0.2982003688812256,0.19747257232666016,0.2603027820587158,0.25232386589050293,0.15755033493041992,0.1835157871246338,0.5345685482025146,0.3341095447540283,0.2852654457092285
circuits_s420,0.8367607593536377,1.2486975193023682,0.6602332592010498,0.7679684162139893,1.237687349319458,0.7679448127746582,1.183845043182373,1.0043132305145264,0.6802027225494385,0.9843661785125732,1.912877082824707,1.4920058250427246,1.212754487991333
circuits_s838,4.0311853885650635,5.139244556427002,2.498319625854492,3.2871756553649902,4.557924509048462,2.7576191425323486,4.990642070770264,3.750948429107666,2.1981165409088135,3.218384265899658,8.266875267028809,5.128298759460449,3.991292715072632
e_coli,1.8041722774505615,25.01802396774292,0.8656830787658691,1.18784499168396,67.56618881225586,61.84749388694763,64.62599444389343,63.32750916481018,1.053152322769165,4.034202814102173,89.55633497238159,59.68330693244934,7.210677146911621
facebook_0,2.6858131885528564,3.1755025386810303,2.9690778255462646,2.0953617095947266,4.705408096313477,2.8603193759918213,2.997014284133911,3.570443630218506,2.2390077114105225,2.6738736629486084,5.692774534225464,4.525912761688232,1.9358172416687012
facebook_107,100.4730896949768,99.4627616405487,89.4899480342865,102.07283568382263,143.08404088020325,79.12821865081787,95.66591453552246,105.68613982200623,88.02139067649841,84.62054896354675,187.15804839134216,120.34188961982727,107.64290237426758
facebook_1684,32.42026710510254,46.52280783653259,46.12355327606201,34.53455376625061,57.56393551826477,41.87596607208252,49.83789014816284,45.42941093444824,35.632646322250366,37.61834359169006,77.23229241371155,50.77111458778381,46.48063659667969
facebook_348,2.5820889472961426,2.7217140197753906,2.6120479106903076,2.534217357635498,3.649207830429077,2.4394724369049072,2.1482505798339844,2.570157766342163,2.811474323272705,2.4624106884002686,4.142910957336426,2.8623387813568115,3.195448398590088
facebook_414,0.967437744140625,1.149923324584961,1.246661901473999,0.878648042678833,1.544865369796753,1.132967472076416,0.9175710678100586,0.9544057846069336,1.3852930068969727,1.0222361087799072,2.1771724224090576,1.3743200302124023,0.9933674335479736
facebook_686,1.891937255859375,1.483440637588501,1.626633644104004,1.3234879970550537,1.7901828289031982,1.3603367805480957,1.2696037292480469,1.406236171722412,1.5687994956970215,1.3304061889648438,2.302860975265503,1.6246235370635986,1.707406759262085
polbooks,1.259627103805542,0.8686680793762207,0.6402842998504639,0.7998595237731934,1.1219978332519531,0.7619609832763672,1.291518211364746,0.9863591194152832,0.9704000949859619,0.8477377891540527,1.4780075550079346,1.1010525226593018,1.2177424430847168
word_adjacencies,0.24438810348510742,0.26326513290405273,0.2861976623535156,0.2782564163208008,0.37801384925842285,0.2583045959472656,0.29121899604797363,0.3630249500274658,0.43483686447143555,0.36802196502685547,0.4198756217956543,0.3610093593597412,0.30817246437072754
corruption,0.7988617420196533,1.8451809883117676,1.6685640811920166,0.8966307640075684,4.4999823570251465,1.898941993713379,1.8460848331451416,4.721363067626953,1.6875100135803223,2.8852784633636475,6.663201808929443,4.266579627990723,3.0996735095977783
crime_net,1.2695765495300293,2.240999698638916,1.4571006298065186,1.1050794124603271,10.254524230957031,1.420173168182373,2.377661943435669,9.729921579360962,1.4451320171356201,4.629609107971191,23.419344186782837,11.468331098556519,1.8689730167388916
jazz,2.8633360862731934,2.968057632446289,2.7575957775115967,2.6847901344299316,3.510603666305542,2.7077279090881348,2.3965916633605957,3.5674498081207275,2.6319262981414795,2.9959793090820312,3.283212423324585,2.9470884799957275,3.2173876762390137
petster_hamster,77.50157380104065,90.24446606636047,92.88344287872314,72.85637283325195,204.20354771614075,69.31248998641968,80.63714981079102,96.36913108825684,78.36162567138672,76.33666467666626,271.7154438495636,177.84891772270203,131.3103301525116
email,32.99558401107788,50.37767720222473,30.743788242340088,26.78829836845398,41.29650378227234,26.071219444274902,30.643011569976807,32.82614493370056,29.559630155563354,31.03792691230774,55.82709860801697,43.78381562232971,35.16289472579956
